LOC_BLANK,BRANCH_COUNT,CALL_PAIRS,LOC_CODE_AND_COMMENT,LOC_COMMENTS,CONDITION_COUNT,CYCLOMATIC_COMPLEXITY,CYCLOMATIC_DENSITY,DECISION_COUNT,DECISION_DENSITY,DESIGN_COMPLEXITY,DESIGN_DENSITY,EDGE_COUNT,ESSENTIAL_COMPLEXITY,ESSENTIAL_DENSITY,LOC_EXECUTABLE,PARAMETER_COUNT,HALSTEAD_CONTENT,HALSTEAD_DIFFICULTY,HALSTEAD_EFFORT,HALSTEAD_ERROR_EST,HALSTEAD_LENGTH,HALSTEAD_LEVEL,HALSTEAD_PROG_TIME,HALSTEAD_VOLUME,MAINTENANCE_SEVERITY,MODIFIED_CONDITION_COUNT,MULTIPLE_CONDITION_COUNT,NODE_COUNT,NORMALIZED_CYLOMATIC_COMPLEXITY,NUM_OPERANDS,NUM_OPERATORS,NUM_UNIQUE_OPERANDS,NUM_UNIQUE_OPERATORS,NUMBER_OF_LINES,PERCENT_COMMENTS,LOC_TOTAL,label,GLOBAL_DATA_COMPLEXITY,GLOBAL_DATA_DENSITY
6,9,2,1,0,16,5,0.2,8,2,3,0.6,17,1,0,24,3,32.54,9.5,2936.77,0.1,63,0.11,163.15,309.13,0.2,4,8,14,0.16,19,44,15,15,32,4,25,0,0,0
15,7,3,1,19,12,4,0.13,6,2,2,0.5,17,1,0,31,1,38.55,21.52,17846.19,0.28,141,0.05,991.46,829.45,0.25,3,6,15,0.06,51,90,32,27,67,39.22,32,1,0,0
27,9,1,4,22,16,5,0.15,8,2,3,0.6,18,1,0,29,0,52.03,12.33,7914.68,0.21,111,0.08,439.7,641.73,0.2,4,8,15,0.06,37,74,33,22,83,47.27,33,1,0,0
7,3,2,0,0,4,2,0.17,2,2,2,1,6,1,0,12,2,14.62,6.43,604.36,0.03,23,0.16,33.58,94.01,0.5,1,2,6,0.1,9,14,7,10,20,0,12,0,0,0
51,25,13,0,14,48,13,0.12,24,2,11,0.85,96,1,0,106,2,101.31,27.04,74089.87,0.91,421,0.04,4116.1,2739.78,0.08,12,24,85,0.08,192,229,71,20,172,11.67,106,0,0,0
3,5,2,0,0,8,3,0.2,4,2,3,1,12,1,0,15,1,8.17,18,2648.68,0.05,36,0.06,147.15,147.15,0.33,2,4,11,0.16,15,21,5,12,19,0,15,0,0,0
13,9,5,12,16,16,5,0.14,8,2,5,1,21,5,1,25,4,38.51,14.25,7820.87,0.18,107,0.07,434.49,548.83,1,4,8,18,0.07,38,69,20,15,67,52.83,37,0,0,0
22,29,0,8,35,44,15,0.28,16,2.75,1,0.07,45,3,0.14,46,0,61.1,22.3,30377.95,0.45,239,0.04,1687.66,1362.41,0.2,14,22,32,0.13,110,129,37,15,112,48.31,54,0,0,0
16,9,2,11,28,12,5,0.11,4,3,1,0.2,21,5,1,34,2,41.24,20.76,17773.08,0.29,155,0.05,987.39,856.15,1,4,6,18,0.06,59,96,27,19,90,53.42,45,0,0,0
4,3,0,2,4,4,2,0.17,2,2,1,0.5,6,1,0,10,1,15.9,9,1287.55,0.05,35,0.11,71.53,143.06,0.5,1,2,6,0.1,16,19,8,9,21,37.5,12,0,0,0
23,13,0,10,17,24,7,0.21,12,2,1,0.14,27,5,0.67,23,3,27.4,28.12,21659.58,0.26,157,0.04,1203.31,770.38,0.71,6,12,22,0.09,43,114,13,17,74,54,33,0,0,0
23,13,0,10,17,24,7,0.21,12,2,1,0.14,27,5,0.67,23,3,17.45,27.22,12929.85,0.16,105,0.04,718.32,474.97,0.71,6,12,22,0.09,35,70,9,14,74,54,33,0,0,0
